0.055,-0.150,0.682
0.022,-0.100,0.792
-0.037,-0.063,0.968
-0.003,-0.073,1.078
0.034,-0.041,1.070
-0.011,0.055,1.155
-0.062,0.061,1.193
-0.028,-0.029,1.237
0.028,0.066,1.310
0.013,0.096,1.475
-0.025,0.153,1.522
-0.009,0.184,1.521
-0.074,0.098,1.459
-0.013,0.090,1.423
-0.018,0.093,1.387
0.019,0.078,1.331
0.024,0.062,1.265
-0.005,0.038,1.212
0.004,0.063,1.219
-0.007,0.078,1.214
0.017,0.077,1.166
0.028,0.061,1.122
0.045,0.055,1.123
0.051,0.042,1.134
0.054,0.059,1.157
0.065,0.069,1.182
0.066,0.049,1.198
0.040,0.040,1.240
0.034,0.049,1.248
0.011,0.074,1.281
0.011,0.083,1.271
0.023,0.059,1.257
0.024,0.033,1.213
0.044,0.069,1.168
0.045,0.061,1.186
0.060,0.118,1.243
0.050,0.146,1.219
0.056,0.103,1.123
0.025,0.092,1.089
0.006,0.083,1.046
0.000,0.079,0.987
-0.011,0.071,0.886
-0.004,0.047,0.850
-0.010,0.040,0.813
-0.008,0.011,0.768
-0.010,-0.027,0.709
-0.020,-0.112,0.576
-0.021,-0.183,0.523
-0.028,-0.108,0.543
0.005,-0.095,0.552
-0.049,-0.091,0.563
-0.070,-0.106,0.523
-0.035,-0.101,0.497
-0.009,-0.108,0.428
-0.064,-0.121,0.431
-0.048,-0.180,0.461
-0.031,-0.195,0.477
-0.036,-0.151,0.562
-0.026,-0.125,0.630
0.041,-0.080,0.696
0.084,-0.072,0.684
0.066,-0.133,0.696
-0.007,-0.130,0.777
-0.050,-0.110,0.906
0.063,0.032,0.967
0.104,0.121,1.059
0.023,0.098,1.054
-0.051,0.104,1.028
-0.063,0.109,1.100
-0.002,0.191,1.271
0.058,0.154,1.301
-0.006,0.179,1.357
-0.063,0.212,1.370
-0.052,0.201,1.330
-0.036,0.149,1.297
-0.072,0.062,1.290
-0.075,0.001,1.299
-0.047,0.050,1.388
0.002,0.108,1.484
0.037,0.104,1.469
0.044,0.086,1.355
0.050,0.050,1.265
0.074,0.039,1.223
0.066,0.033,1.166
0.045,0.049,1.140
0.027,0.054,1.163
0.022,0.046,1.179
0.021,0.028,1.214
0.015,0.014,1.263
0.007,0.034,1.314
0.012,0.077,1.370
0.041,0.108,1.346
0.057,0.110,1.294
0.068,0.145,1.258
0.054,0.162,1.219
0.070,0.130,1.185
0.062,0.094,1.118
0.088,0.073,1.108
0.054,0.109,1.101
0.011,0.128,1.050
0.008,0.049,0.989
-0.031,-0.001,0.918
-0.042,-0.032,0.863
-0.020,0.025,0.866
0.000,0.030,0.774
